date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:45	131344/131344	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/fonts/cloudicon/Cloudicon.eot?h7rmut	F:/AmmarWebsit/www.otekit.com/fonts/cloudicon/Cloudicond171.eot	(from https://www.otekit.com/fonts/cloudicon/cloudicon.css)
00:21:45	131172/131172	---M--	200	added ('OK')	font/ttf	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/fonts/cloudicon/Cloudicon.ttf?h7rmut	F:/AmmarWebsit/www.otekit.com/fonts/cloudicon/Cloudicond171.ttf	(from https://www.otekit.com/fonts/cloudicon/cloudicon.css)
00:21:47	131248/131248	---M--	200	added ('OK')	font/woff	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/fonts/cloudicon/Cloudicon.woff?h7rmut	F:/AmmarWebsit/www.otekit.com/fonts/cloudicon/Cloudicond171.woff	(from https://www.otekit.com/fonts/cloudicon/cloudicon.css)
00:21:48	188660/188660	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222e0f4-2PHlus2/4s/aW8pSDWBV6nlxS4A%22	https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicon.eot?-hdf3wh	F:/AmmarWebsit/cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicond2ef.eot	(from https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css)
00:21:49	188660/188660	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222e0f4-2PHlus2/4s/aW8pSDWBV6nlxS4A%22	https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicon.eot?	F:/AmmarWebsit/cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicond41d.eot	(from https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css)
00:21:51	188572/188572	---M--	200	added ('OK')	font/woff	etag:W/%222e09c-kwPBBugA+vod2vJyXZZToC0KNY8%22	https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicon.woff?-hdf3wh	F:/AmmarWebsit/cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicond2ef.woff	(from https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css)
00:21:52	188496/188496	---M-Z	200	added ('OK')	font/ttf	etag:W/%222e050-W9mw8b2/EjEfDmsTlUzGMUN6SWA%22	https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicon.ttf?-hdf3wh	F:/AmmarWebsit/cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicond2ef.ttf	(from https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css)
00:21:54	727949/727949	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22b1b8d-P0yTrQunSZfOE5x5iXE39z1MDew%22	https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicon.svg?-hdf3wh	F:/AmmarWebsit/cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/fonts/devicond2ef.svg	(from https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css)
00:21:54	1458/1458	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2019%20Jun%202022%2021:21:57%20GMT	https://www.otekit.com/css/owl.video.play.png	F:/AmmarWebsit/www.otekit.com/css/owl.video.play.3a.delayed	(from https://www.otekit.com/css/plugins.css)
00:21:55	284/284	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/img/drag.png	F:/AmmarWebsit/www.otekit.com/img/drag.png	(from https://www.otekit.com/css/plugins.css)
00:21:56	623/623	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/img/filter/cd-icon-arrow.svg	F:/AmmarWebsit/www.otekit.com/img/filter/cd-icon-arrow.svg	(from https://www.otekit.com/css/app.css)
00:21:56	552439/552439	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/fonts/cloudicon/Cloudicon.svg?h7rmut	F:/AmmarWebsit/www.otekit.com/fonts/cloudicon/Cloudicond171.svg	(from https://www.otekit.com/fonts/cloudicon/cloudicon.css)
00:21:56	628/628	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/img/filter/cd-icon-check.svg	F:/AmmarWebsit/www.otekit.com/img/filter/cd-icon-check.svg	(from https://www.otekit.com/css/app.css)
00:21:56	3887/3887	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:28%20GMT	https://www.otekit.com/patterns/exapath2.svg	F:/AmmarWebsit/www.otekit.com/patterns/exapath2.svg	(from https://www.otekit.com/css/app.css)
00:21:58	59392/59392	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:28%20GMT	https://www.otekit.com/patterns/cpupath2.svg	F:/AmmarWebsit/www.otekit.com/patterns/cpupath2.svg	(from https://www.otekit.com/css/app.css)
00:21:58	3607/3607	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:28%20GMT	https://www.otekit.com/patterns/motpath2.svg	F:/AmmarWebsit/www.otekit.com/patterns/motpath2.svg	(from https://www.otekit.com/css/app.css)
